annotation_id,participant_id,dialogue_id,is_gold_standard,is_prolific_user,accuracy,novelty,interaction_adequacy,explainability,cui_adaptability,cui_understanding,cui_response_quality,cui_attentiveness,perceived_ease_of_use,perceived_usefulness,user_control,transparency,cui_humanness,cui_rapport,trust_confidence,satisfaction,intention_to_use,intention_to_purchase,time_spent,timestamp
25,P007,dialogue_13611,0,1,3,2,4,2,4,4,4,4,4,3,3,3,5,4,3,3,4,3,92.0,2025-12-20 15:41:23.677746
26,P009,dialogue_14552,0,1,4,2,4,4,5,4,3,5,3,4,3,4,4,2,3,3,2,2,120.0,2025-12-20 15:41:31.612238
27,P006,dialogue_10284,0,1,3,2,4,3,4,3,3,4,4,3,4,3,5,3,3,3,3,3,503.0,2025-12-20 15:42:10.016900
28,P004,dialogue_15497,0,1,4,5,5,2,4,5,4,5,4,4,4,4,5,3,4,4,5,3,93.0,2025-12-20 15:42:16.523824
29,P005,dialogue_4671,0,1,4,3,4,3,4,3,4,3,4,4,3,4,3,4,4,3,4,4,64.0,2025-12-20 15:42:19.742236
30,P009,dialogue_12628,0,1,5,5,4,2,4,5,5,4,4,5,4,4,5,4,5,3,5,4,62.0,2025-12-20 15:42:33.527409
31,P007,dialogue_10370,0,1,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,4,90.0,2025-12-20 15:42:54.055542
32,P009,dialogue_15955,0,1,3,1,2,1,1,2,3,2,3,2,2,3,1,1,3,2,3,2,45.0,2025-12-20 15:43:18.633182
33,P008,dialogue_7200,0,1,5,2,5,4,4,4,4,5,5,4,5,5,4,3,4,4,3,3,298.0,2025-12-20 15:43:20.668738
34,P005,dialogue_2393,0,1,4,3,4,4,4,3,4,4,3,4,4,4,4,5,4,4,4,4,80.0,2025-12-20 15:43:40.084889
35,P009,dialogue_14706,0,1,3,2,5,3,4,3,2,4,5,3,4,4,2,4,4,3,3,4,60.0,2025-12-20 15:44:18.854688
36,P004,dialogue_12056,0,1,4,5,5,2,4,5,4,5,4,5,3,4,5,3,4,4,5,3,123.0,2025-12-20 15:44:20.387815
37,P007,GOLD_002,1,1,1,1,3,1,1,3,1,3,1,1,1,1,1,1,1,1,1,1,90.0,2025-12-20 15:44:25.025838
38,P005,dialogue_19019,0,1,4,3,4,4,3,4,4,3,4,4,4,3,4,4,4,3,4,4,59.0,2025-12-20 15:44:39.263765
39,P008,dialogue_5473,0,1,1,1,1,1,1,1,1,2,2,1,3,1,1,1,1,1,2,1,124.0,2025-12-20 15:45:25.482927
40,P005,dialogue_3220,0,1,4,4,3,4,4,4,4,3,4,4,3,4,4,4,4,5,4,4,64.0,2025-12-20 15:45:43.173396
41,P004,dialogue_11022,0,1,5,5,5,2,5,5,5,5,5,5,3,5,5,3,5,5,5,3,89.0,2025-12-20 15:45:49.961837
42,P009,dialogue_12752,0,1,5,4,3,4,1,5,4,1,4,5,2,4,1,1,3,5,4,3,107.0,2025-12-20 15:46:06.227474
43,P005,dialogue_10938,0,1,4,4,5,4,5,4,4,4,5,4,5,4,4,4,4,4,4,4,44.0,2025-12-20 15:46:27.203118
44,P009,dialogue_9224,0,1,4,2,4,3,4,5,4,5,5,5,4,5,5,3,4,5,4,5,66.0,2025-12-20 15:47:12.341157
45,P006,dialogue_11022,0,1,4,4,5,4,5,5,5,5,4,4,3,5,5,3,4,4,4,4,328.0,2025-12-20 15:47:38.457560
46,P004,dialogue_19043,0,1,2,1,4,2,2,4,4,4,2,1,3,2,5,3,1,1,1,1,122.0,2025-12-20 15:47:52.265252
47,P009,GOLD_002,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,49.0,2025-12-20 15:48:01.171934
48,P007,dialogue_3527,0,1,4,5,3,4,3,4,5,4,4,5,4,4,5,3,4,4,5,4,220.0,2025-12-20 15:48:06.027930
49,P009,dialogue_13568,0,1,5,5,4,4,3,5,4,5,4,4,5,5,5,3,5,4,4,5,50.0,2025-12-20 15:48:51.503438
50,P007,dialogue_19019,0,1,5,2,4,3,5,5,5,5,5,4,5,5,5,4,5,5,5,5,73.0,2025-12-20 15:49:20.481185
51,P009,dialogue_3527,0,1,5,5,5,4,5,5,5,5,3,5,4,5,4,5,4,5,4,3,76.0,2025-12-20 15:50:07.311243
52,P008,dialogue_4831,0,1,3,2,4,3,3,4,4,4,4,2,4,5,4,2,4,4,4,3,326.0,2025-12-20 15:50:51.685295
53,P009,dialogue_12924,0,1,4,2,2,2,2,4,3,5,5,3,4,3,5,4,4,2,4,3,67.0,2025-12-20 15:51:14.032115
54,P007,dialogue_19131,0,1,5,5,5,4,4,5,5,5,5,5,4,5,5,5,5,5,5,5,127.0,2025-12-20 15:51:30.622738
55,P006,dialogue_18650,0,1,3,3,4,4,4,4,3,4,4,3,4,3,5,3,3,3,3,3,243.0,2025-12-20 15:51:41.675339
56,P008,dialogue_11432,0,1,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,3,93.0,2025-12-20 15:52:24.985533
57,P007,dialogue_3659,0,1,4,5,5,3,4,5,5,5,5,5,5,5,5,5,5,5,5,5,116.0,2025-12-20 15:53:29.147189
58,P008,GOLD_002,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,67.0,2025-12-20 15:53:31.689131
59,P008,dialogue_480,0,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,74.0,2025-12-20 15:54:45.467859
60,P007,dialogue_14706,0,1,3,5,2,3,3,3,3,5,3,3,2,3,4,3,3,4,3,3,91.0,2025-12-20 15:55:00.871744
61,P006,GOLD_001,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,221.0,2025-12-20 15:55:22.345380
62,P008,dialogue_4822,0,1,4,4,4,3,4,4,4,4,5,4,5,5,5,5,5,5,4,4,85.0,2025-12-20 15:56:10.468740
63,P010,dialogue_17721,0,1,4,2,5,2,4,5,5,5,5,4,4,2,3,3,5,5,4,2,277.0,2025-12-20 15:57:33.856877
64,P008,dialogue_12375,0,1,1,5,2,2,2,2,1,2,3,3,3,2,1,1,1,1,1,1,117.0,2025-12-20 15:58:07.409394
65,P006,dialogue_561,0,1,3,3,3,4,2,3,4,4,4,4,3,4,4,2,3,3,3,3,226.0,2025-12-20 15:59:08.961612
66,P008,dialogue_11689,0,1,2,2,5,4,3,2,2,1,4,1,4,5,4,2,2,1,2,1,129.0,2025-12-20 16:00:16.168908
67,P006,dialogue_7120,0,1,2,2,2,2,2,2,2,2,1,2,2,2,3,2,2,2,2,2,314.0,2025-12-20 16:04:23.445849
68,P006,dialogue_902,0,1,4,4,4,3,3,4,4,4,4,4,3,3,4,3,4,4,4,4,106.0,2025-12-20 16:06:09.173705
69,P008,dialogue_16874,0,1,1,3,2,2,2,2,2,3,1,3,2,2,2,1,2,2,2,1,379.0,2025-12-20 16:06:35.094048
70,P006,dialogue_13568,0,1,4,4,4,3,3,4,4,4,3,4,4,4,4,3,3,4,4,4,105.0,2025-12-20 16:07:54.145554
71,P006,dialogue_8022,0,1,4,4,3,3,3,3,4,4,3,4,4,4,4,3,4,4,4,4,144.0,2025-12-20 16:10:18.001880
72,P010,dialogue_2444,0,1,3,2,3,2,3,3,3,4,3,2,3,1,2,3,2,2,1,1,1063.0,2025-12-20 16:15:17.515520
73,P010,dialogue_5375,0,1,3,1,2,2,2,3,2,3,3,2,2,1,3,3,2,2,1,1,369.0,2025-12-20 16:21:26.767946
74,P012,dialogue_561,0,1,3,2,4,4,2,3,3,4,4,3,4,3,2,3,4,3,3,3,238.0,2025-12-20 16:23:38.948450
75,P012,dialogue_9325,0,1,5,4,4,4,5,5,4,4,4,5,4,4,3,3,5,4,5,4,119.0,2025-12-20 16:25:38.255970
76,P010,dialogue_7172,0,1,4,2,4,3,4,4,4,4,4,4,4,2,3,3,4,4,4,1,338.0,2025-12-20 16:27:05.625169
77,P012,dialogue_10855,0,1,4,3,4,4,3,4,4,3,4,4,4,3,2,2,3,3,3,3,117.0,2025-12-20 16:27:35.943704
78,P010,dialogue_10093,0,1,3,1,2,2,2,3,2,3,3,2,2,1,3,2,2,2,1,1,63.0,2025-12-20 16:28:08.544195
79,P010,GOLD_002,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,74.0,2025-12-20 16:29:22.368955
80,P012,dialogue_13757,0,1,4,5,4,4,4,5,4,4,4,5,4,4,3,3,4,4,4,4,109.0,2025-12-20 16:29:25.583860
81,P012,GOLD_001,1,1,1,1,2,2,1,1,1,2,1,1,2,1,1,1,1,1,1,1,105.0,2025-12-20 16:31:10.715791
82,P010,dialogue_8730,0,1,4,2,4,4,4,5,4,5,5,4,4,3,4,4,4,4,5,1,123.0,2025-12-20 16:31:26.305810
83,P010,dialogue_1328,0,1,3,4,4,4,4,4,4,4,4,4,5,3,3,3,4,4,4,1,110.0,2025-12-20 16:33:16.925651
84,P012,dialogue_997,0,1,4,4,3,4,4,4,4,4,3,4,3,4,3,3,4,4,4,3,153.0,2025-12-20 16:33:44.383580
85,P010,dialogue_3232,0,1,4,3,4,3,4,4,4,4,4,4,4,3,3,3,4,4,4,2,149.0,2025-12-20 16:35:45.930726
86,P012,dialogue_2217,0,1,2,3,3,2,2,1,1,2,2,2,1,2,4,2,1,2,1,1,202.0,2025-12-20 16:37:06.347209
87,P010,dialogue_16472,0,1,3,1,3,2,3,3,3,3,3,3,3,2,3,3,3,3,2,2,151.0,2025-12-20 16:38:18.283390
88,P012,dialogue_12056,0,1,2,3,2,1,3,2,2,3,3,3,2,2,3,3,2,2,1,1,141.0,2025-12-20 16:39:28.253777
89,P012,dialogue_19376,0,1,3,3,3,4,3,4,3,3,3,4,4,4,4,3,4,4,4,3,111.0,2025-12-20 16:41:20.081152
90,P012,dialogue_3220,0,1,4,4,3,4,4,4,4,3,4,4,3,4,4,3,4,4,4,3,198.0,2025-12-20 16:44:38.548735
91,P014,dialogue_5109,0,1,3,3,4,4,4,3,5,4,4,4,5,4,4,3,4,4,3,4,201.0,2025-12-20 16:59:16.949047
92,P014,dialogue_3320,0,1,4,3,4,3,3,4,4,4,4,4,4,4,4,3,4,4,4,4,106.0,2025-12-20 17:01:03.955987
93,P014,dialogue_6641,0,1,2,2,4,3,2,2,3,4,3,2,3,4,3,2,3,2,3,3,126.0,2025-12-20 17:03:10.834731
94,P014,dialogue_14396,0,1,3,2,4,3,3,3,4,4,3,4,4,4,4,3,3,3,4,3,84.0,2025-12-20 17:04:35.730693
95,P014,GOLD_001,1,1,2,2,1,1,1,2,2,2,2,1,1,1,1,2,2,2,1,1,63.0,2025-12-20 17:05:39.315590
96,P014,dialogue_9451,0,1,4,4,5,4,4,4,5,5,5,5,4,4,4,3,4,5,4,4,75.0,2025-12-20 17:06:54.819934
97,P014,dialogue_1050,0,1,2,2,3,1,2,2,3,3,3,3,3,2,2,3,2,2,2,3,78.0,2025-12-20 17:08:13.327958
98,P014,dialogue_10913,0,1,3,3,3,3,2,3,3,4,3,3,3,3,3,3,3,2,3,2,89.0,2025-12-20 17:09:42.532975
99,P014,dialogue_16323,0,1,3,3,4,3,3,4,4,4,3,4,4,4,3,3,3,3,3,3,71.0,2025-12-20 17:10:54.503629
100,P014,dialogue_11689,0,1,3,3,4,3,2,3,3,4,3,3,3,4,3,3,3,3,2,3,90.0,2025-12-20 17:12:25.544893
101,P022,dialogue_2228,0,1,4,5,5,5,5,5,5,5,4,4,5,4,5,5,5,5,5,4,129.0,2026-01-03 09:29:17.921361
102,P023,dialogue_12371,0,1,4,2,4,1,2,3,4,2,2,3,2,2,1,1,2,3,1,2,166.0,2026-01-03 09:30:10.027038
103,P020,dialogue_11363,0,1,4,2,5,3,3,4,4,5,4,3,5,3,4,3,4,4,3,3,237.0,2026-01-03 09:30:43.226990
104,P028,dialogue_6168,0,1,3,4,5,2,2,2,4,4,3,3,3,4,5,1,3,3,2,3,110.0,2026-01-03 09:30:45.259183
106,P030,dialogue_10899,0,1,5,4,5,2,4,5,5,5,5,5,4,5,5,4,5,5,4,4,111.0,2026-01-03 09:31:07.452116
107,P022,dialogue_15664,0,1,4,3,5,5,4,4,4,5,5,4,5,5,5,5,5,4,4,4,112.0,2026-01-03 09:31:09.992319
108,P035,dialogue_15458,0,1,4,3,3,3,3,3,3,3,4,3,3,3,3,2,3,3,3,3,90.0,2026-01-03 09:31:13.486977
109,P026,dialogue_9463,0,1,3,2,2,2,2,2,3,3,3,2,2,2,4,3,3,2,2,2,176.0,2026-01-03 09:31:15.156646
110,P024,dialogue_18650,0,1,2,4,3,3,3,4,3,3,4,3,4,3,3,3,2,3,3,3,233.0,2026-01-03 09:31:21.123187
111,P023,dialogue_11025,0,1,4,3,4,4,4,4,4,4,4,4,3,4,3,2,4,3,3,3,93.0,2026-01-03 09:31:43.346386
105,P019,dialogue_13735,0,1,4,1,3,2,4,5,5,4,4,4,3,2,4,4,3,4,3,4,66.0,2026-01-03 09:32:01.092582
112,P028,dialogue_12371,0,1,2,2,3,1,1,1,4,2,2,2,1,1,2,1,1,2,1,2,79.0,2026-01-03 09:32:05.775962
113,P025,dialogue_14947,0,1,1,1,2,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,257.0,2026-01-03 09:32:19.463213
114,P030,dialogue_14498,0,1,2,2,2,1,2,2,3,2,2,2,3,2,2,2,2,2,1,1,77.0,2026-01-03 09:32:25.019839
115,P035,dialogue_19206,0,1,3,4,4,3,4,4,4,4,4,4,3,4,4,4,3,3,4,3,82.0,2026-01-03 09:32:35.943307
116,P022,dialogue_14498,0,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,96.0,2026-01-03 09:32:46.602549
117,P029,dialogue_12628,0,1,4,3,5,2,3,4,4,4,4,4,3,3,4,3,3,3,3,3,231.0,2026-01-03 09:32:52.770317
118,P023,dialogue_5883,0,1,4,5,4,4,4,4,4,5,4,5,3,4,3,2,4,4,3,4,70.0,2026-01-03 09:32:54.166089
119,P024,dialogue_1309,0,1,2,2,2,2,2,2,2,3,3,1,2,2,2,3,2,2,3,2,93.0,2026-01-03 09:32:54.206564
120,P032,dialogue_4653,0,1,4,2,4,3,2,3,4,2,4,3,3,3,2,2,3,3,2,2,211.0,2026-01-03 09:32:57.225623
121,P042,dialogue_1043,0,1,4,4,3,1,3,3,3,3,3,4,3,3,1,1,3,3,3,3,105.0,2026-01-03 09:33:24.347876
122,P026,dialogue_3581,0,1,4,4,4,3,4,4,4,4,4,4,4,3,5,3,3,3,4,4,144.0,2026-01-03 09:33:39.841189
123,P038,dialogue_7390,0,1,3,3,5,1,4,4,5,4,4,3,4,4,5,4,4,4,3,3,206.0,2026-01-03 09:33:50.230548
124,P030,dialogue_4817,0,1,5,4,5,4,5,5,5,5,5,5,4,5,5,4,5,5,4,5,90.0,2026-01-03 09:33:55.009647
125,P028,dialogue_15458,0,1,4,2,4,2,2,2,4,3,2,3,2,4,2,1,3,3,2,2,110.0,2026-01-03 09:33:56.582007
127,P037,dialogue_7922,0,1,4,3,5,4,5,5,5,5,5,4,4,5,4,1,4,3,4,1,247.0,2026-01-03 09:34:08.550432
128,P021,dialogue_6163,0,1,4,4,3,2,2,3,3,4,4,3,3,3,4,4,3,3,4,3,443.0,2026-01-03 09:34:11.058310
129,P035,dialogue_1309,0,1,3,2,3,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,96.0,2026-01-03 09:34:11.793297
130,P039,dialogue_13400,0,1,5,4,5,2,4,4,4,5,5,5,5,4,5,5,5,5,5,4,185.0,2026-01-03 09:34:12.579477
131,P036,dialogue_7390,0,1,4,2,4,2,3,3,4,3,4,3,4,3,3,2,3,3,3,2,262.0,2026-01-03 09:34:17.271642
132,P024,dialogue_6880,0,1,4,4,4,3,3,4,4,3,4,4,3,3,4,4,4,4,4,4,84.0,2026-01-03 09:34:18.728304
133,P023,dialogue_13568,0,1,2,2,2,3,2,2,2,2,2,2,2,2,1,1,2,2,2,2,84.0,2026-01-03 09:34:18.987441
134,P042,dialogue_7196,0,1,5,2,3,3,3,4,4,4,4,4,3,4,1,1,3,3,3,3,55.0,2026-01-03 09:34:19.343219
135,P025,dialogue_11282,0,1,3,1,3,1,1,3,4,2,2,1,2,3,1,1,1,1,1,1,134.0,2026-01-03 09:34:33.718272
136,P022,dialogue_16620,0,1,4,5,5,5,4,5,5,4,5,5,5,5,5,5,5,4,5,4,108.0,2026-01-03 09:34:35.209792
137,P041,dialogue_944,0,1,3,2,3,2,3,2,2,3,2,3,3,2,2,3,2,2,2,3,215.0,2026-01-03 09:34:53.321859
138,P019,dialogue_6833,0,1,5,1,4,2,2,4,5,4,4,4,3,4,2,2,3,2,1,2,185.0,2026-01-03 09:35:06.276710
139,P028,dialogue_1328,0,1,3,4,3,3,4,4,4,4,3,4,4,4,4,1,3,4,2,3,80.0,2026-01-03 09:35:17.053026
140,P030,dialogue_15966,0,1,5,4,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,84.0,2026-01-03 09:35:19.415063
141,P026,dialogue_4986,0,1,5,5,5,5,5,5,5,4,5,5,5,4,5,4,5,5,4,4,108.0,2026-01-03 09:35:27.936743
142,P035,dialogue_16472,0,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,81.0,2026-01-03 09:35:32.887255
143,P022,GOLD_001,1,1,2,1,1,1,1,2,1,2,1,1,3,2,1,1,1,1,1,1,60.0,2026-01-03 09:35:35.295186
144,P029,dialogue_13242,0,1,4,3,4,4,2,4,3,4,3,4,3,3,3,2,3,4,2,3,169.0,2026-01-03 09:35:42.047157
146,P031,dialogue_7246,0,1,5,5,5,5,5,5,5,5,5,5,4,5,5,4,5,5,3,4,390.0,2026-01-03 09:35:47.527717
147,P038,dialogue_5883,0,1,4,5,5,3,4,4,4,5,4,5,5,3,5,4,4,5,4,3,119.0,2026-01-03 09:35:49.348601
148,P042,dialogue_1286,0,1,3,3,3,3,3,3,2,1,3,3,3,3,1,1,2,2,1,2,91.0,2026-01-03 09:35:50.304999
149,P020,dialogue_6163,0,1,5,5,4,4,4,4,5,4,5,5,4,4,4,3,4,5,4,3,316.0,2026-01-03 09:35:59.377184
150,P032,dialogue_17768,0,1,3,2,4,3,2,3,3,3,4,2,3,3,4,2,3,2,2,2,189.0,2026-01-03 09:36:06.364448
151,P025,dialogue_5692,0,1,3,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,95.0,2026-01-03 09:36:08.765281
152,P045,dialogue_16874,0,1,2,2,4,3,2,1,4,3,3,2,4,3,3,1,1,1,1,1,164.0,2026-01-03 09:36:15.153816
153,P028,dialogue_13524,0,1,3,1,2,2,2,1,4,2,2,2,2,3,2,1,2,2,1,2,62.0,2026-01-03 09:36:19.320718
154,P023,dialogue_16768,0,1,4,1,4,3,3,4,1,4,3,4,3,4,2,1,4,3,3,3,120.0,2026-01-03 09:36:19.623714
155,P041,dialogue_2020,0,1,4,4,3,4,3,4,4,4,3,4,4,3,2,3,4,4,3,4,91.0,2026-01-03 09:36:25.160936
156,P035,dialogue_14498,0,1,3,4,4,3,4,3,3,4,4,4,3,3,3,4,4,4,4,4,55.0,2026-01-03 09:36:28.225791
157,P022,dialogue_4822,0,1,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,57.0,2026-01-03 09:36:32.893369
158,P042,dialogue_2217,0,1,2,2,2,1,1,1,2,2,2,2,2,1,1,1,1,1,1,1,46.0,2026-01-03 09:36:36.051557
159,P039,dialogue_4986,0,1,5,5,5,2,5,5,5,5,5,5,5,4,5,5,5,5,5,5,149.0,2026-01-03 09:36:42.353402
160,P030,dialogue_5943,0,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,84.0,2026-01-03 09:36:43.597861
161,P028,GOLD_002,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,35.0,2026-01-03 09:36:54.689645
162,P044,dialogue_13735,0,1,3,2,3,2,2,3,3,2,3,3,2,4,2,2,3,3,2,3,238.0,2026-01-03 09:37:05.322994
163,P037,dialogue_2405,0,1,3,4,5,2,4,5,4,5,5,5,4,4,3,1,5,5,4,1,186.0,2026-01-03 09:37:14.631681
164,P045,dialogue_15903,0,1,3,2,2,2,2,2,4,2,2,1,2,2,1,1,2,2,1,1,64.0,2026-01-03 09:37:19.256203
165,P023,GOLD_001,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,63.0,2026-01-03 09:37:22.832893
166,P042,dialogue_7246,0,1,4,3,3,2,3,3,3,3,3,3,3,3,2,2,2,2,2,2,50.0,2026-01-03 09:37:26.042414
167,P035,GOLD_001,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,61.0,2026-01-03 09:37:29.292151
168,P026,dialogue_1286,0,1,3,2,2,2,3,2,2,2,2,2,3,2,4,3,2,2,2,1,124.0,2026-01-03 09:37:31.897043
169,P029,dialogue_5937,0,1,2,2,3,1,2,2,1,2,2,2,2,1,2,1,1,2,1,1,110.0,2026-01-03 09:37:32.637232
170,P043,dialogue_1328,0,1,3,3,2,2,3,3,3,3,2,3,2,2,3,2,3,2,2,2,308.0,2026-01-03 09:37:39.401449
171,P030,dialogue_18169,0,1,1,1,4,3,2,2,2,2,1,1,2,2,3,2,2,2,2,2,72.0,2026-01-03 09:37:55.964729
172,P041,dialogue_7390,0,1,4,2,4,3,4,3,3,3,2,4,3,4,2,3,3,4,2,4,94.0,2026-01-03 09:38:00.090998
173,P032,dialogue_13950,0,1,4,2,2,3,2,3,2,2,3,2,2,3,3,2,3,3,3,2,114.0,2026-01-03 09:38:00.266264
175,P038,dialogue_14926,0,1,3,3,4,3,3,3,3,3,3,3,2,3,4,4,2,2,4,2,139.0,2026-01-03 09:38:08.844135
177,P022,dialogue_2321,0,1,4,5,4,4,5,4,4,4,5,4,5,5,4,4,5,4,5,4,98.0,2026-01-03 09:38:11.938076
178,P025,dialogue_17185,0,1,3,1,4,2,2,3,4,3,4,3,3,3,2,1,3,3,3,2,130.0,2026-01-03 09:38:19.386050
179,P019,dialogue_18312,0,1,4,4,4,3,3,4,2,3,4,4,4,1,2,4,3,4,3,3,193.0,2026-01-03 09:38:19.524615
180,P045,dialogue_16768,0,1,2,2,2,2,2,2,2,1,1,1,3,2,1,1,2,2,1,1,65.0,2026-01-03 09:38:24.539757
181,P035,dialogue_11432,0,1,4,4,4,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,59.0,2026-01-03 09:38:28.547928
182,P042,dialogue_4986,0,1,5,5,4,4,4,4,4,4,4,4,4,4,3,2,3,3,3,3,70.0,2026-01-03 09:38:35.679649
183,P039,dialogue_13524,0,1,3,3,2,3,2,3,2,4,3,3,2,2,5,5,2,3,2,1,116.0,2026-01-03 09:38:39.195267
184,P023,dialogue_6880,0,1,4,3,3,3,3,3,3,3,3,4,3,4,2,1,3,3,3,3,81.0,2026-01-03 09:38:44.466900
185,P026,dialogue_10748,0,1,2,2,3,2,2,2,3,2,2,2,2,3,4,2,2,2,1,2,75.0,2026-01-03 09:38:47.371511
186,P030,GOLD_002,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,52.0,2026-01-03 09:38:48.231326
187,P042,GOLD_001,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,38.0,2026-01-03 09:39:13.443557
188,P045,dialogue_4700,0,1,3,3,3,3,2,3,3,3,2,3,3,3,1,1,3,3,1,3,56.0,2026-01-03 09:39:20.758640
189,P036,dialogue_11025,0,1,4,4,3,3,3,3,2,3,3,3,2,2,3,2,3,3,2,2,304.0,2026-01-03 09:39:21.936707
190,P035,dialogue_10748,0,1,3,3,3,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,57.0,2026-01-03 09:39:25.621600
192,P048,dialogue_3581,0,1,5,4,4,4,4,4,4,4,4,4,4,4,4,3,4,5,4,5,202.0,2026-01-03 09:39:28.890365
